iteration=112,error=5.858876,theta1=0.000261,theta2=0.801580
iteration=113,error=5.858378,theta1=-0.000441,theta2=0.801655
iteration=114,error=5.857880,theta1=-0.001142,theta2=0.801730
iteration=115,error=5.857382,theta1=-0.001844,theta2=0.801804
iteration=116,error=5.856884,theta1=-0.002546,theta2=0.801878
iteration=117,error=5.856387,theta1=-0.003247,theta2=0.801951
iteration=118,error=5.855889,theta1=-0.003949,theta2=0.802025
iteration=119,error=5.855392,theta1=-0.004650,theta2=0.802098
iteration=120,error=5.854895,theta1=-0.005351,theta2=0.802171
iteration=121,error=5.854399,theta1=-0.006052,theta2=0.802243
iteration=122,error=5.853902,theta1=-0.006753,theta2=0.802316
iteration=123,error=5.853406,theta1=-0.007454,theta2=0.802388
iteration=124,error=5.852910,theta1=-0.008155,theta2=0.802460
iteration=125,error=5.852414,theta1=-0.008855,theta2=0.802532
iteration=126,error=5.851918,theta1=-0.009556,theta2=0.802604
iteration=127,error=5.851422,theta1=-0.010256,theta2=0.802676
iteration=128,error=5.850927,theta1=-0.010956,theta2=0.802747
iteration=129,error=5.850431,theta1=-0.011657,theta2=0.802819
iteration=130,error=5.849936,theta1=-0.012357,theta2=0.802890
iteration=131,error=5.849441,theta1=-0.013057,theta2=0.802961
iteration=132,error=5.848946,theta1=-0.013756,theta2=0.803033
iteration=133,error=5.848452,theta1=-0.014456,theta2=0.803104
iteration=134,error=5.847957,theta1=-0.015156,theta2=0.803175
iteration=135,error=5.847463,theta1=-0.015855,theta2=0.803246
iteration=136,error=5.846969,theta1=-0.016554,theta2=0.803316
iteration=137,error=5.846475,theta1=-0.017254,theta2=0.803387
iteration=138,error=5.845982,theta1=-0.017953,theta2=0.803458
iteration=139,error=5.845488,theta1=-0.018652,theta2=0.803529
iteration=140,error=5.844995,theta1=-0.019351,theta2=0.803599
iteration=141,error=5.844502,theta1=-0.020049,theta2=0.803670
iteration=142,error=5.844009,theta1=-0.020748,theta2=0.803740
iteration=143,error=5.843516,theta1=-0.021446,theta2=0.803811
iteration=144,error=5.843023,theta1=-0.022145,theta2=0.803881
iteration=145,error=5.842531,theta1=-0.022843,theta2=0.803952
iteration=146,error=5.842039,theta1=-0.023541,theta2=0.804022
iteration=147,error=5.841546,theta1=-0.024239,theta2=0.804093
iteration=148,error=5.841055,theta1=-0.024937,theta2=0.804163
iteration=149,error=5.840563,theta1=-0.025635,theta2=0.804233
iteration=150,error=5.840071,theta1=-0.026332,theta2=0.804303
iteration=151,error=5.839580,theta1=-0.027030,theta2=0.804374
iteration=152,error=5.839089,theta1=-0.027727,theta2=0.804444
iteration=153,error=5.838598,theta1=-0.028424,theta2=0.804514
iteration=154,error=5.838107,theta1=-0.029121,theta2=0.804584
iteration=155,error=5.837616,theta1=-0.029818,theta2=0.804654
iteration=156,error=5.837126,theta1=-0.030515,theta2=0.804725
iteration=157,error=5.836635,theta1=-0.031212,theta2=0.804795
iteration=158,error=5.836145,theta1=-0.031909,theta2=0.804865
iteration=159,error=5.835655,theta1=-0.032605,theta2=0.804935
iteration=160,error=5.835165,theta1=-0.033301,theta2=0.805005
iteration=161,error=5.834676,theta1=-0.033998,theta2=0.805075
iteration=162,error=5.834186,theta1=-0.034694,theta2=0.805145
iteration=163,error=5.833697,theta1=-0.035390,theta2=0.805215
iteration=164,error=5.833208,theta1=-0.036086,theta2=0.805285
iteration=165,error=5.832719,theta1=-0.036781,theta2=0.805355
iteration=166,error=5.832230,theta1=-0.037477,theta2=0.805425
iteration=167,error=5.831742,theta1=-0.038173,theta2=0.805495
iteration=168,error=5.831253,theta1=-0.038868,theta2=0.805564
iteration=169,error=5.830765,theta1=-0.039563,theta2=0.805634
iteration=170,error=5.830277,theta1=-0.040258,theta2=0.805704
iteration=171,error=5.829789,theta1=-0.040953,theta2=0.805774
iteration=172,error=5.829302,theta1=-0.041648,theta2=0.805844
iteration=173,error=5.828814,theta1=-0.042343,theta2=0.805914
iteration=174,error=5.828327,theta1=-0.043038,theta2=0.805984
iteration=175,error=5.827840,theta1=-0.043732,theta2=0.806053
iteration=176,error=5.827353,theta1=-0.044426,theta2=0.806123
iteration=177,error=5.826866,theta1=-0.045121,theta2=0.806193
iteration=178,error=5.826379,theta1=-0.045815,theta2=0.806263
iteration=179,error=5.825893,theta1=-0.046509,theta2=0.806332
iteration=180,error=5.825407,theta1=-0.047203,theta2=0.806402
iteration=181,error=5.824921,theta1=-0.047896,theta2=0.806472
iteration=182,error=5.824435,theta1=-0.048590,theta2=0.806541
iteration=183,error=5.823949,theta1=-0.049283,theta2=0.806611
iteration=184,error=5.823463,theta1=-0.049977,theta2=0.806681
iteration=185,error=5.822978,theta1=-0.050670,theta2=0.806750
iteration=186,error=5.822493,theta1=-0.051363,theta2=0.806820
iteration=187,error=5.822008,theta1=-0.052056,theta2=0.806890
iteration=188,error=5.821523,theta1=-0.052749,theta2=0.806959
iteration=189,error=5.821038,theta1=-0.053442,theta2=0.807029
iteration=190,error=5.820554,theta1=-0.054134,theta2=0.807099
iteration=191,error=5.820069,theta1=-0.054827,theta2=0.807168
iteration=192,error=5.819585,theta1=-0.055519,theta2=0.807238
iteration=193,error=5.819101,theta1=-0.056211,theta2=0.807307
iteration=194,error=5.818617,theta1=-0.056904,theta2=0.807377
iteration=195,error=5.818134,theta1=-0.057596,theta2=0.807446
iteration=196,error=5.817650,theta1=-0.058287,theta2=0.807516
iteration=197,error=5.817167,theta1=-0.058979,theta2=0.807585
iteration=198,error=5.816684,theta1=-0.059671,theta2=0.807655
iteration=199,error=5.816201,theta1=-0.060362,theta2=0.807724
iteration=200,error=5.815718,theta1=-0.061054,theta2=0.807794
iteration=201,error=5.815235,theta1=-0.061745,theta2=0.807863
iteration=202,error=5.814753,theta1=-0.062436,theta2=0.807933
iteration=203,error=5.814271,theta1=-0.063127,theta2=0.808002
iteration=204,error=5.813789,theta1=-0.063818,theta2=0.808071
iteration=205,error=5.813307,theta1=-0.064509,theta2=0.808141
iteration=206,error=5.812825,theta1=-0.065199,theta2=0.808210
iteration=207,error=5.812343,theta1=-0.065890,theta2=0.808280
iteration=208,error=5.811862,theta1=-0.066580,theta2=0.808349
iteration=209,error=5.811381,theta1=-0.067270,theta2=0.808418
iteration=210,error=5.810900,theta1=-0.067961,theta2=0.808488
iteration=211,error=5.810419,theta1=-0.068651,theta2=0.808557
iteration=212,error=5.809938,theta1=-0.069340,theta2=0.808626
iteration=213,error=5.809458,theta1=-0.070030,theta2=0.808695
iteration=214,error=5.808977,theta1=-0.070720,theta2=0.808765
iteration=215,error=5.808497,theta1=-0.071409,theta2=0.808834
iteration=216,error=5.808017,theta1=-0.072099,theta2=0.808903
iteration=217,error=5.807537,theta1=-0.072788,theta2=0.808973
iteration=218,error=5.807058,theta1=-0.073477,theta2=0.809042
iteration=219,error=5.806578,theta1=-0.074166,theta2=0.809111
iteration=220,error=5.806099,theta1=-0.074855,theta2=0.809180
iteration=221,error=5.805620,theta1=-0.075544,theta2=0.809249
iteration=222,error=5.805141,theta1=-0.076232,theta2=0.809319
iteration=223,error=5.804662,theta1=-0.076921,theta2=0.809388
iteration=224,error=5.804184,theta1=-0.077609,theta2=0.809457
iteration=225,error=5.803705,theta1=-0.078298,theta2=0.809526
iteration=226,error=5.803227,theta1=-0.078986,theta2=0.809595
iteration=227,error=5.802749,theta1=-0.079674,theta2=0.809664
iteration=228,error=5.802271,theta1=-0.080362,theta2=0.809733
iteration=229,error=5.801793,theta1=-0.081049,theta2=0.809802
iteration=230,error=5.801315,theta1=-0.081737,theta2=0.809872
iteration=231,error=5.800838,theta1=-0.082424,theta2=0.809941
iteration=232,error=5.800361,theta1=-0.083112,theta2=0.810010
iteration=233,error=5.799884,theta1=-0.083799,theta2=0.810079
iteration=234,error=5.799407,theta1=-0.084486,theta2=0.810148
iteration=235,error=5.798930,theta1=-0.085173,theta2=0.810217
iteration=236,error=5.798454,theta1=-0.085860,theta2=0.810286
iteration=237,error=5.797977,theta1=-0.086547,theta2=0.810355
iteration=238,error=5.797501,theta1=-0.087234,theta2=0.810424
iteration=239,error=5.797025,theta1=-0.087920,theta2=0.810493
iteration=240,error=5.796549,theta1=-0.088607,theta2=0.810562
iteration=241,error=5.796073,theta1=-0.089293,theta2=0.810631
iteration=242,error=5.795598,theta1=-0.089979,theta2=0.810700
iteration=243,error=5.795123,theta1=-0.090665,theta2=0.810768
iteration=244,error=5.794647,theta1=-0.091351,theta2=0.810837
iteration=245,error=5.794172,theta1=-0.092037,theta2=0.810906
iteration=246,error=5.793698,theta1=-0.092722,theta2=0.810975
iteration=247,error=5.793223,theta1=-0.093408,theta2=0.811044
iteration=248,error=5.792748,theta1=-0.094093,theta2=0.811113
iteration=249,error=5.792274,theta1=-0.094779,theta2=0.811182
iteration=250,error=5.791800,theta1=-0.095464,theta2=0.811251
iteration=251,error=5.791326,theta1=-0.096149,theta2=0.811319
iteration=252,error=5.790852,theta1=-0.096834,theta2=0.811388
iteration=253,error=5.790379,theta1=-0.097519,theta2=0.811457
iteration=254,error=5.789905,theta1=-0.098203,theta2=0.811526
iteration=255,error=5.789432,theta1=-0.098888,theta2=0.811595
iteration=256,error=5.788959,theta1=-0.099572,theta2=0.811663
iteration=257,error=5.788486,theta1=-0.100257,theta2=0.811732
